event_id,application_id,stage,event_timestamp,notes
1,1,submitted,2023-02-25 11:47:00,Application received
2,1,under_review,2023-02-25 19:47:00,Assigned to review team
3,1,verified,2023-02-28 23:47:00,Documents verified successfully
4,2,submitted,2023-10-17 06:45:00,Application received
5,2,under_review,2023-10-18 10:45:00,Assigned to review team
6,2,verified,2023-10-21 07:45:00,Documents verified successfully
7,3,submitted,2023-03-24 19:27:00,Application received
8,3,under_review,2023-03-26 11:27:00,Assigned to review team
9,3,verified,2023-03-29 01:27:00,Documents verified successfully
10,3,approved,2023-03-31 10:27:00,Loan approved by underwriter
11,4,submitted,2023-01-24 01:29:00,Application received
12,4,under_review,2023-01-25 18:29:00,Assigned to review team
13,4,verified,2023-01-26 07:29:00,Documents verified successfully
14,5,submitted,2023-12-28 04:02:00,Application received
15,5,under_review,2023-12-28 15:02:00,Assigned to review team
16,6,submitted,2023-03-27 20:22:00,Application received
17,6,under_review,2023-03-28 07:22:00,Assigned to review team
18,6,verified,2023-03-31 03:22:00,Documents verified successfully
19,6,approved,2023-04-01 16:22:00,Loan approved by underwriter
20,6,disbursed,2023-04-02 17:22:00,Funds transferred to account
21,7,submitted,2023-05-21 04:44:00,Application received
22,7,under_review,2023-05-22 19:44:00,Assigned to review team
23,7,verified,2023-05-26 00:44:00,Documents verified successfully
24,8,submitted,2023-10-20 23:20:00,Application received
25,8,under_review,2023-10-21 05:20:00,Assigned to review team
26,8,verified,2023-10-25 03:20:00,Documents verified successfully
27,9,submitted,2023-10-30 10:57:00,Application received
28,9,under_review,2023-10-31 10:57:00,Assigned to review team
29,9,verified,2023-11-02 17:57:00,Documents verified successfully
30,10,submitted,2023-03-26 07:27:00,Application received
31,10,under_review,2023-03-27 08:27:00,Assigned to review team
32,10,verified,2023-03-28 07:27:00,Documents verified successfully
33,10,approved,2023-03-31 03:27:00,Loan approved by underwriter
34,10,disbursed,2023-04-02 05:27:00,Funds transferred to account
35,11,submitted,2023-03-03 00:56:00,Application received
36,11,under_review,2023-03-04 00:56:00,Assigned to review team
37,11,verified,2023-03-06 07:56:00,Documents verified successfully
38,11,approved,2023-03-07 17:56:00,Loan approved by underwriter
39,11,disbursed,2023-03-11 16:56:00,Funds transferred to account
40,12,submitted,2023-04-02 23:58:00,Application received
41,12,under_review,2023-04-04 22:58:00,Assigned to review team
42,13,submitted,2023-09-30 13:38:00,Application received
43,13,under_review,2023-09-30 21:38:00,Assigned to review team
44,14,submitted,2023-02-14 06:31:00,Application received
45,14,under_review,2023-02-14 14:31:00,Assigned to review team
46,15,submitted,2023-11-09 23:13:00,Application received
47,15,under_review,2023-11-10 01:13:00,Assigned to review team
48,15,verified,2023-11-10 23:13:00,Documents verified successfully
