applicant_id,credit_score,debt_to_income_ratio,existing_loans,previous_defaults
1,529,0.33,4,0
2,771,0.42,3,0
3,746,0.09,1,0
4,322,0.39,4,2
5,358,0.59,3,2
6,451,0.09,2,0
7,582,0.39,5,0
8,328,0.48,3,1
9,436,0.64,1,2
10,762,0.24,5,0
11,611,0.25,4,0
12,820,0.62,1,0
13,622,0.57,4,0
14,354,0.48,2,2
15,422,0.51,0,2
16,365,0.37,5,0
17,499,0.2,4,0
18,485,0.07,3,2
19,422,0.25,0,1
20,696,0.53,3,0
21,785,0.13,2,0
22,487,0.11,2,0
23,740,0.58,3,0
24,392,0.16,3,0
25,532,0.26,5,2
26,383,0.25,0,2
27,563,0.06,4,0
28,362,0.64,0,2
29,682,0.11,0,0
30,841,0.06,2,0
31,693,0.23,4,0
32,683,0.57,1,0
33,493,0.43,3,0
34,848,0.18,2,0
35,399,0.57,1,2
36,683,0.39,3,0
37,481,0.35,3,0
38,339,0.61,0,1
39,598,0.11,5,0
40,484,0.4,1,0
41,809,0.17,1,0
42,645,0.61,5,0
43,698,0.52,0,0
44,367,0.25,2,0
45,545,0.63,3,0
46,713,0.07,0,0
47,791,0.54,5,0
48,401,0.56,0,2
49,628,0.6,4,0
50,844,0.36,4,0
51,505,0.22,1,1
52,502,0.23,5,1
53,713,0.31,0,0
54,802,0.06,0,0
55,629,0.39,4,0
56,698,0.23,2,0
57,356,0.37,0,0
58,391,0.23,4,2
59,477,0.43,5,0
60,847,0.07,2,0
61,694,0.16,4,0
62,353,0.54,5,1
63,820,0.36,1,0
64,820,0.27,5,0
65,345,0.6,0,1
66,490,0.59,5,1
67,374,0.48,3,0
68,315,0.08,3,0
69,419,0.6,0,0
70,638,0.64,3,0
71,533,0.27,3,0
72,459,0.14,1,2
73,564,0.58,3,0
74,617,0.17,5,0
75,579,0.3,0,0
76,725,0.54,3,0
77,584,0.56,1,0
78,799,0.2,0,0
79,704,0.08,3,0
80,431,0.45,1,0
81,417,0.12,3,0
82,487,0.37,1,2
83,562,0.62,5,0
84,707,0.22,2,0
85,591,0.56,2,0
86,411,0.51,3,0
87,388,0.38,3,0
88,430,0.36,0,1
89,790,0.12,1,0
90,338,0.55,1,0
91,369,0.2,4,1
92,748,0.49,3,0
93,342,0.45,4,0
94,515,0.48,0,2
95,314,0.62,2,1
96,479,0.26,1,2
97,357,0.28,1,1
98,817,0.09,1,0
99,499,0.25,5,1
100,325,0.57,0,0
101,841,0.22,1,0
102,446,0.38,2,0
103,414,0.46,3,2
104,847,0.06,5,0
105,473,0.48,2,1
106,339,0.14,0,2
107,539,0.05,0,2
108,359,0.54,4,0
109,529,0.51,0,2
110,375,0.06,3,2
111,695,0.22,4,0
112,696,0.32,5,0
113,543,0.46,4,1
114,653,0.64,5,0
115,765,0.34,1,0
116,765,0.37,2,0
117,529,0.14,5,2
118,478,0.63,3,1
119,464,0.27,0,1
120,607,0.14,3,0
121,720,0.48,4,0
122,532,0.64,1,2
123,661,0.17,3,0
124,731,0.58,3,0
125,763,0.32,3,0
126,774,0.27,2,0
127,708,0.13,4,0
128,510,0.2,5,0
129,499,0.62,5,2
130,672,0.59,4,0
131,718,0.27,2,0
132,518,0.29,3,0
133,763,0.23,4,0
134,722,0.08,1,0
135,645,0.38,1,0
136,693,0.61,3,0
137,484,0.62,0,2
138,511,0.28,5,0
139,579,0.64,5,0
140,459,0.43,4,0
141,454,0.3,3,0
142,433,0.51,3,1
143,843,0.49,0,0
144,399,0.52,0,0
145,308,0.6,0,1
146,392,0.24,2,0
147,454,0.62,2,0
148,671,0.42,2,0
149,757,0.34,5,0
150,479,0.22,0,2
151,463,0.59,1,0
152,725,0.12,4,0
153,719,0.14,4,0
154,780,0.47,2,0
155,555,0.64,5,0
156,450,0.6,0,0
157,438,0.58,3,1
158,788,0.15,0,0
159,671,0.61,4,0
160,486,0.32,0,1
161,652,0.58,0,0
162,678,0.09,1,0
163,607,0.46,1,0
164,413,0.65,5,0
165,628,0.23,0,0
166,663,0.41,3,0
167,316,0.42,4,1
168,473,0.27,2,0
169,825,0.22,4,0
170,324,0.34,1,0
171,544,0.47,2,1
172,743,0.25,2,0
173,769,0.45,2,0
174,332,0.13,4,0
175,319,0.23,1,1
176,689,0.28,5,0
177,576,0.47,2,0
178,675,0.53,3,0
179,716,0.47,1,0
180,654,0.48,4,0
181,497,0.34,2,0
182,760,0.6,0,0
183,626,0.57,0,0
184,323,0.54,0,0
185,376,0.16,0,0
186,542,0.52,0,0
187,313,0.49,2,2
188,372,0.14,5,1
189,638,0.52,0,0
190,424,0.08,1,0
191,383,0.16,5,0
192,303,0.31,5,0
193,515,0.08,0,1
194,628,0.43,1,0
195,787,0.54,5,0
196,807,0.41,1,0
197,780,0.22,5,0
198,362,0.32,4,0
199,381,0.16,1,1
200,447,0.58,4,0
201,426,0.47,0,0
202,491,0.56,1,0
203,704,0.43,4,0
204,603,0.41,4,0
205,592,0.18,2,0
206,653,0.49,4,0
207,307,0.44,5,1
208,588,0.5,0,0
209,363,0.09,2,2
210,361,0.42,3,0
211,756,0.06,5,0
212,390,0.24,2,2
213,367,0.39,5,1
214,761,0.26,3,0
215,679,0.35,3,0
216,620,0.38,5,0
217,494,0.19,1,0
218,661,0.3,3,0
219,632,0.6,3,0
220,774,0.57,3,0
221,763,0.14,5,0
222,694,0.3,0,0
223,442,0.52,3,2
224,452,0.29,0,1
225,476,0.14,1,0
226,397,0.06,3,0
227,577,0.25,0,0
228,809,0.29,2,0
229,584,0.19,3,0
230,811,0.31,1,0
231,799,0.63,0,0
232,661,0.63,0,0
233,631,0.47,4,0
234,596,0.13,4,0
235,806,0.53,3,0
236,802,0.06,2,0
237,462,0.25,2,2
238,739,0.42,4,0
239,432,0.37,2,2
240,682,0.53,1,0
241,678,0.39,3,0
242,364,0.06,2,1
243,552,0.18,2,0
244,539,0.6,2,2
245,787,0.52,4,0
246,648,0.4,2,0
247,499,0.59,2,2
248,534,0.47,4,0
249,555,0.34,3,0
250,319,0.24,0,1
251,451,0.42,0,2
252,802,0.33,5,0
253,572,0.09,3,0
254,497,0.52,2,2
255,446,0.27,0,1
256,552,0.18,0,0
257,635,0.26,4,0
258,794,0.39,2,0
259,627,0.34,2,0
260,849,0.17,5,0
261,492,0.62,4,2
262,423,0.23,0,2
263,499,0.36,4,1
264,554,0.52,3,0
265,311,0.23,1,0
266,603,0.07,5,0
267,731,0.1,3,0
268,451,0.32,3,2
269,460,0.41,2,0
270,580,0.32,1,0
271,764,0.22,4,0
272,431,0.24,0,0
273,353,0.57,4,1
274,677,0.14,5,0
275,684,0.38,5,0
276,744,0.44,3,0
277,482,0.25,0,2
278,589,0.24,4,0
279,340,0.58,0,2
280,435,0.35,0,0
281,455,0.11,1,2
282,540,0.11,2,1
283,646,0.1,2,0
284,371,0.35,4,0
285,837,0.3,3,0
286,458,0.38,0,0
287,759,0.15,2,0
288,532,0.19,5,2
289,324,0.08,5,0
290,790,0.08,1,0
291,538,0.62,1,2
292,627,0.24,5,0
293,705,0.06,2,0
294,804,0.06,5,0
295,724,0.38,0,0
296,504,0.4,1,0
297,803,0.05,5,0
298,382,0.4,2,2
299,468,0.29,1,2
300,307,0.6,5,2
301,588,0.21,2,0
302,823,0.28,1,0
303,562,0.25,2,0
304,566,0.29,5,0
305,592,0.32,3,0
306,824,0.51,1,0
307,489,0.12,3,0
308,510,0.17,4,2
309,605,0.55,5,0
310,519,0.58,2,1
311,774,0.08,5,0
312,535,0.39,2,0
313,823,0.06,0,0
314,521,0.55,2,0
315,811,0.62,3,0
316,635,0.32,3,0
317,469,0.6,3,2
318,592,0.53,5,0
319,554,0.1,0,0
320,300,0.56,4,0
321,311,0.62,0,1
322,755,0.28,4,0
323,463,0.11,2,0
324,495,0.63,5,1
325,377,0.22,5,0
326,604,0.51,0,0
327,609,0.14,3,0
328,509,0.12,5,2
329,331,0.58,3,0
330,314,0.12,5,0
331,766,0.57,4,0
332,579,0.21,5,0
333,791,0.09,5,0
334,456,0.18,3,2
335,686,0.07,3,0
336,742,0.55,3,0
337,479,0.63,4,0
338,364,0.63,2,2
339,588,0.48,1,0
340,573,0.06,2,0
341,492,0.19,3,0
342,345,0.57,3,2
343,800,0.53,5,0
344,348,0.22,0,2
345,676,0.32,3,0
346,467,0.27,2,2
347,449,0.24,5,1
348,716,0.15,3,0
349,681,0.33,2,0
350,599,0.14,5,0
351,806,0.46,3,0
352,668,0.63,0,0
353,559,0.58,2,0
354,667,0.44,3,0
355,468,0.58,2,2
356,448,0.41,4,2
357,463,0.56,4,0
358,510,0.54,3,0
359,729,0.58,4,0
360,342,0.36,4,0
361,560,0.61,5,0
362,468,0.49,5,2
363,642,0.34,2,0
364,682,0.38,3,0
365,835,0.44,3,0
366,524,0.4,5,1
367,408,0.19,5,1
368,459,0.55,1,2
369,300,0.59,4,0
370,807,0.14,0,0
371,613,0.2,3,0
372,610,0.55,4,0
373,398,0.62,1,0
374,316,0.07,0,0
375,490,0.55,5,0
376,368,0.2,0,1
377,666,0.45,0,0
378,607,0.26,2,0
379,513,0.23,4,2
380,789,0.43,4,0
381,342,0.46,0,1
382,627,0.26,2,0
383,784,0.57,3,0
384,400,0.3,4,2
385,659,0.62,5,0
386,802,0.65,3,0
387,339,0.63,0,1
388,558,0.38,0,0
389,551,0.48,5,0
390,396,0.32,5,1
391,547,0.41,3,0
392,630,0.24,5,0
393,762,0.18,3,0
394,397,0.06,1,2
395,328,0.61,3,0
396,814,0.16,2,0
397,697,0.53,4,0
398,349,0.2,0,2
399,829,0.34,3,0
400,600,0.56,0,0
401,597,0.41,3,0
402,412,0.46,0,0
403,793,0.34,0,0
404,696,0.52,5,0
405,480,0.51,0,1
406,487,0.18,5,2
407,805,0.19,3,0
408,418,0.11,1,0
409,324,0.31,2,2
410,740,0.06,4,0
411,677,0.43,0,0
412,728,0.33,2,0
413,746,0.38,3,0
414,368,0.09,2,2
415,666,0.33,4,0
416,549,0.59,1,0
417,324,0.15,4,0
418,501,0.32,4,1
419,569,0.34,5,0
420,489,0.4,0,2
421,340,0.19,1,1
422,436,0.5,3,0
423,680,0.09,0,0
424,415,0.36,2,2
425,843,0.06,1,0
426,627,0.6,3,0
427,518,0.16,3,1
428,790,0.18,1,0
429,697,0.38,5,0
430,372,0.14,1,2
431,448,0.57,0,1
432,825,0.64,0,0
433,468,0.2,3,2
434,670,0.61,2,0
435,716,0.09,3,0
436,343,0.57,3,0
437,497,0.45,2,1
438,760,0.41,1,0
439,430,0.34,4,1
440,461,0.19,4,1
441,809,0.51,3,0
442,331,0.3,4,0
443,449,0.51,0,1
444,584,0.29,3,0
445,649,0.23,4,0
446,634,0.6,3,0
447,823,0.34,5,0
448,440,0.33,0,2
449,801,0.64,4,0
450,829,0.42,0,0
451,557,0.43,2,0
452,595,0.41,1,0
453,620,0.61,2,0
454,545,0.39,2,1
455,496,0.55,4,2
456,721,0.22,4,0
457,734,0.45,1,0
458,442,0.53,5,1
459,494,0.46,2,2
460,628,0.17,3,0
461,832,0.15,5,0
462,598,0.43,1,0
463,645,0.16,5,0
464,808,0.27,3,0
465,795,0.48,4,0
466,770,0.37,1,0
467,560,0.41,2,0
468,427,0.63,4,1
469,303,0.09,2,1
470,765,0.61,4,0
471,583,0.36,3,0
472,503,0.21,3,2
473,801,0.41,3,0
474,747,0.28,0,0
475,443,0.16,2,0
476,342,0.56,2,0
477,848,0.21,0,0
478,733,0.17,5,0
479,361,0.06,2,2
480,583,0.22,1,0
481,536,0.18,4,2
482,573,0.61,2,0
483,542,0.14,4,2
484,624,0.51,1,0
485,692,0.17,4,0
486,317,0.62,0,2
487,576,0.54,0,0
488,397,0.2,3,0
489,547,0.33,1,0
490,525,0.22,0,0
491,615,0.31,4,0
492,695,0.32,1,0
493,402,0.56,3,2
494,754,0.32,5,0
495,693,0.56,3,0
496,323,0.37,2,0
497,803,0.31,4,0
498,650,0.24,3,0
499,819,0.42,3,0
500,510,0.27,5,0
