application_id,applicant_id,loan_type,loan_amount,loan_term_months,status,application_date
1,1,personal_loan,40630,48,submitted,2023-02-25 11:47:00
2,2,personal_loan,26392,48,submitted,2023-10-17 06:45:00
3,3,personal_loan,3112,48,submitted,2023-03-24 19:27:00
4,4,education_loan,30069,24,submitted,2023-01-24 01:29:00
5,5,auto_loan,9334,24,submitted,2023-12-28 04:02:00
6,6,business_loan,138435,36,submitted,2023-03-27 20:22:00
7,7,home_loan,456960,12,submitted,2023-05-21 04:44:00
8,8,auto_loan,30831,60,submitted,2023-10-20 23:20:00
9,9,home_loan,419157,12,submitted,2023-10-30 10:57:00
10,10,home_loan,72238,24,submitted,2023-03-26 07:27:00
11,11,education_loan,5572,60,submitted,2023-03-03 00:56:00
12,12,personal_loan,29806,48,submitted,2023-04-02 23:58:00
13,13,home_loan,271491,36,submitted,2023-09-30 13:38:00
14,14,auto_loan,14321,48,submitted,2023-02-14 06:31:00
15,15,personal_loan,33811,12,submitted,2023-11-09 23:13:00
16,16,personal_loan,28103,36,submitted,2023-08-23 01:15:00
17,17,home_loan,423625,24,submitted,2023-02-01 06:04:00
18,18,personal_loan,46332,24,submitted,2023-10-21 06:30:00
19,19,personal_loan,47283,48,submitted,2023-01-29 13:41:00
20,20,home_loan,251372,60,submitted,2023-08-05 16:17:00
21,21,home_loan,249547,12,submitted,2023-05-03 02:26:00
22,22,home_loan,395783,24,submitted,2023-08-23 04:27:00
23,23,personal_loan,47664,12,submitted,2023-10-05 20:47:00
24,24,auto_loan,34245,36,submitted,2023-04-07 18:38:00
25,25,business_loan,63176,12,submitted,2023-12-04 10:36:00
26,26,personal_loan,33612,48,submitted,2023-06-12 11:00:00
27,27,auto_loan,37339,24,submitted,2023-05-06 12:18:00
28,28,home_loan,281669,12,submitted,2023-12-08 16:56:00
29,29,personal_loan,36870,36,submitted,2023-04-15 22:40:00
30,30,business_loan,64430,12,submitted,2023-06-23 04:40:00
31,31,auto_loan,7406,24,submitted,2023-07-10 02:35:00
32,32,personal_loan,6747,12,submitted,2023-07-03 08:56:00
33,34,auto_loan,45048,60,submitted,2023-04-25 03:52:00
34,35,personal_loan,30841,60,submitted,2023-02-08 08:22:00
35,36,personal_loan,20614,36,submitted,2023-05-16 06:06:00
36,37,business_loan,122020,60,submitted,2023-01-25 23:27:00
37,39,auto_loan,22984,36,submitted,2023-08-05 13:24:00
38,40,personal_loan,14700,60,submitted,2023-08-12 14:38:00
39,42,education_loan,34697,60,submitted,2023-05-09 11:39:00
40,43,home_loan,494490,36,submitted,2023-05-06 17:41:00
41,44,education_loan,39872,48,submitted,2023-10-15 05:58:00
42,45,home_loan,144323,60,submitted,2023-09-19 05:53:00
43,46,education_loan,3103,12,submitted,2023-09-26 05:40:00
44,48,auto_loan,18587,60,submitted,2023-08-05 04:57:00
45,49,personal_loan,23914,60,submitted,2023-08-05 22:47:00
46,50,personal_loan,14185,36,submitted,2023-12-11 01:51:00
47,51,personal_loan,34206,60,submitted,2023-01-14 11:41:00
48,52,personal_loan,22842,36,submitted,2023-07-14 09:48:00
49,53,business_loan,60860,36,submitted,2023-02-06 00:02:00
50,54,education_loan,5330,24,submitted,2023-04-25 04:44:00
51,55,business_loan,150762,36,submitted,2023-01-16 20:36:00
52,56,education_loan,6671,60,submitted,2023-12-25 14:54:00
53,57,home_loan,59813,24,submitted,2023-06-25 17:54:00
54,58,business_loan,102692,12,submitted,2023-09-27 15:17:00
55,59,business_loan,98906,48,submitted,2023-02-15 20:56:00
56,60,home_loan,254244,24,submitted,2023-04-05 13:13:00
57,61,auto_loan,25611,12,submitted,2023-04-09 18:15:00
58,62,home_loan,174592,36,submitted,2023-02-17 21:14:00
59,63,personal_loan,20812,24,submitted,2023-10-11 01:22:00
60,65,education_loan,32083,60,submitted,2023-06-02 09:23:00
61,67,personal_loan,23289,48,submitted,2023-05-13 08:07:00
62,68,personal_loan,22452,24,submitted,2023-06-07 22:15:00
63,69,business_loan,145304,24,submitted,2023-08-15 22:55:00
64,70,home_loan,424172,60,submitted,2023-04-18 01:13:00
65,72,auto_loan,43947,12,submitted,2023-11-18 00:42:00
66,73,personal_loan,44187,36,submitted,2023-02-06 07:10:00
67,75,personal_loan,13618,36,submitted,2023-10-23 21:01:00
68,76,auto_loan,48982,12,submitted,2023-04-05 11:27:00
69,77,personal_loan,1999,60,submitted,2023-06-19 10:44:00
70,78,personal_loan,23958,60,submitted,2023-07-27 06:52:00
71,79,education_loan,21564,60,submitted,2023-11-18 09:48:00
72,80,personal_loan,23199,60,submitted,2023-11-20 05:51:00
73,81,personal_loan,45269,12,submitted,2023-03-03 13:53:00
74,84,auto_loan,43846,48,submitted,2023-06-27 09:35:00
75,85,personal_loan,13985,60,submitted,2023-07-31 17:20:00
76,87,home_loan,98714,48,submitted,2023-02-11 03:50:00
77,89,home_loan,167332,24,submitted,2023-02-19 01:06:00
78,90,education_loan,28695,24,submitted,2023-01-30 19:22:00
79,91,business_loan,95134,48,submitted,2023-11-11 07:39:00
80,92,home_loan,234256,48,submitted,2023-08-27 18:43:00
81,93,personal_loan,23846,60,submitted,2023-06-05 04:24:00
82,94,personal_loan,47810,12,submitted,2023-12-07 06:17:00
83,95,business_loan,149656,48,submitted,2023-04-24 06:12:00
84,96,personal_loan,16970,60,submitted,2023-07-09 04:08:00
85,97,home_loan,228632,24,submitted,2023-07-10 06:32:00
86,98,business_loan,124125,60,submitted,2023-02-10 12:48:00
87,99,auto_loan,16343,12,submitted,2023-08-24 09:43:00
88,100,personal_loan,40064,48,submitted,2023-10-18 01:58:00
89,101,business_loan,56182,36,submitted,2023-01-20 22:31:00
90,102,home_loan,409403,60,submitted,2023-03-21 22:41:00
91,103,personal_loan,43270,12,submitted,2023-05-03 12:06:00
92,105,auto_loan,48311,24,submitted,2023-10-11 07:37:00
93,106,home_loan,353002,48,submitted,2023-10-05 22:51:00
94,107,personal_loan,45535,36,submitted,2023-04-02 01:03:00
95,108,auto_loan,27561,12,submitted,2023-08-23 00:14:00
96,109,home_loan,116875,36,submitted,2023-08-10 15:06:00
97,111,personal_loan,37702,36,submitted,2023-12-01 00:46:00
98,113,personal_loan,47020,60,submitted,2023-07-10 08:35:00
99,114,auto_loan,31609,48,submitted,2023-08-07 16:03:00
100,115,auto_loan,36121,24,submitted,2023-02-26 15:54:00
101,116,business_loan,104447,48,submitted,2023-11-28 19:01:00
102,117,personal_loan,5701,12,submitted,2023-04-03 21:36:00
103,119,education_loan,11898,12,submitted,2023-01-29 05:05:00
104,121,business_loan,192292,60,submitted,2023-04-17 20:13:00
105,122,home_loan,272363,60,submitted,2023-07-15 17:45:00
106,123,home_loan,147408,48,submitted,2023-10-24 15:36:00
107,124,business_loan,72062,60,submitted,2023-11-16 06:53:00
108,125,home_loan,67543,12,submitted,2023-06-11 21:21:00
109,126,personal_loan,32557,12,submitted,2023-06-30 11:46:00
110,128,home_loan,91017,60,submitted,2023-11-17 22:55:00
111,129,personal_loan,42331,12,submitted,2023-07-01 04:04:00
112,130,business_loan,91919,60,submitted,2023-09-20 10:29:00
113,132,home_loan,318783,48,submitted,2023-08-13 18:33:00
114,133,home_loan,468498,36,submitted,2023-11-22 15:21:00
115,134,auto_loan,44166,36,submitted,2023-11-05 09:21:00
116,135,personal_loan,32009,60,submitted,2023-02-14 19:35:00
117,136,auto_loan,24120,60,submitted,2023-12-10 20:32:00
118,138,home_loan,496402,36,submitted,2023-07-12 21:10:00
119,139,personal_loan,17839,12,submitted,2023-11-10 21:48:00
120,140,education_loan,12904,48,submitted,2023-04-11 10:43:00
121,141,personal_loan,46925,24,submitted,2023-11-07 03:55:00
122,142,business_loan,99875,12,submitted,2023-03-27 04:28:00
123,143,business_loan,118251,48,submitted,2023-07-23 12:23:00
124,144,auto_loan,15963,24,submitted,2023-03-18 13:02:00
125,145,personal_loan,18327,12,submitted,2023-04-23 01:35:00
126,147,personal_loan,49899,60,submitted,2023-01-04 08:22:00
127,148,home_loan,126100,60,submitted,2023-10-08 18:50:00
128,149,personal_loan,30413,48,submitted,2023-01-09 13:50:00
129,150,auto_loan,7688,12,submitted,2023-04-03 17:29:00
130,151,education_loan,31297,60,submitted,2023-01-24 08:59:00
131,152,personal_loan,18503,12,submitted,2023-01-27 07:21:00
132,153,home_loan,404047,24,submitted,2023-09-15 01:31:00
133,154,home_loan,405319,24,submitted,2023-06-15 04:05:00
134,155,auto_loan,59505,12,submitted,2023-06-30 21:27:00
135,159,auto_loan,21508,24,submitted,2023-11-11 14:44:00
136,161,education_loan,17209,60,submitted,2023-07-06 00:14:00
137,162,personal_loan,40628,24,submitted,2023-10-10 20:39:00
138,163,business_loan,192361,24,submitted,2023-06-13 20:04:00
139,164,auto_loan,9962,48,submitted,2023-01-31 15:33:00
140,165,auto_loan,50365,36,submitted,2023-05-10 18:40:00
141,166,personal_loan,5088,48,submitted,2023-10-25 14:10:00
142,167,personal_loan,18345,24,submitted,2023-11-26 02:16:00
143,168,education_loan,16151,60,submitted,2023-11-28 00:30:00
144,169,personal_loan,36430,48,submitted,2023-08-28 21:21:00
145,170,education_loan,19973,12,submitted,2023-06-13 21:29:00
146,173,personal_loan,33617,24,submitted,2023-12-04 07:30:00
147,174,education_loan,28590,36,submitted,2023-07-25 02:36:00
148,175,education_loan,3242,60,submitted,2023-11-18 16:39:00
149,176,home_loan,261766,12,submitted,2023-09-21 03:32:00
150,177,home_loan,411371,48,submitted,2023-03-13 11:59:00
151,179,personal_loan,20846,48,submitted,2023-09-02 06:41:00
152,181,home_loan,497397,36,submitted,2023-12-20 18:26:00
153,183,auto_loan,16574,60,submitted,2023-05-18 09:30:00
154,185,personal_loan,26565,12,submitted,2023-07-23 12:49:00
155,186,home_loan,381764,48,submitted,2023-04-22 04:52:00
156,187,personal_loan,2662,60,submitted,2023-09-30 01:40:00
157,188,personal_loan,36425,36,submitted,2023-03-24 15:41:00
158,189,education_loan,4075,12,submitted,2023-02-18 06:36:00
159,190,business_loan,21223,48,submitted,2023-04-08 19:55:00
160,192,home_loan,405508,60,submitted,2023-12-01 03:45:00
161,194,personal_loan,10279,48,submitted,2023-05-02 00:48:00
162,195,education_loan,6001,24,submitted,2023-03-05 03:19:00
163,196,personal_loan,42462,12,submitted,2023-04-25 00:08:00
164,197,home_loan,139490,60,submitted,2023-04-22 20:43:00
165,199,home_loan,468997,60,submitted,2023-09-20 05:51:00
166,200,home_loan,475470,48,submitted,2023-07-23 10:52:00
167,201,personal_loan,14974,12,submitted,2023-02-08 13:02:00
168,202,personal_loan,18949,24,submitted,2023-07-15 07:05:00
169,203,auto_loan,41268,24,submitted,2023-03-08 21:14:00
170,204,personal_loan,42431,60,submitted,2023-04-28 13:29:00
171,205,personal_loan,32913,12,submitted,2023-01-10 04:13:00
172,207,auto_loan,43910,36,submitted,2023-11-04 09:52:00
173,208,auto_loan,18510,24,submitted,2023-11-02 12:58:00
174,209,home_loan,175437,24,submitted,2023-09-29 05:44:00
175,210,home_loan,426018,48,submitted,2023-12-29 09:51:00
176,211,auto_loan,56287,36,submitted,2023-06-20 08:05:00
177,212,home_loan,150612,12,submitted,2023-02-07 07:51:00
178,213,auto_loan,54881,60,submitted,2023-01-08 19:59:00
179,214,auto_loan,48209,24,submitted,2023-05-06 05:20:00
180,215,personal_loan,10779,48,submitted,2023-08-28 04:51:00
181,216,auto_loan,7825,12,submitted,2023-01-10 05:35:00
182,217,personal_loan,17474,36,submitted,2023-09-15 06:41:00
183,218,personal_loan,49523,12,submitted,2023-10-10 02:11:00
184,219,personal_loan,2904,48,submitted,2023-08-01 03:53:00
185,220,business_loan,199111,48,submitted,2023-11-13 01:42:00
186,221,home_loan,441688,36,submitted,2023-05-28 18:32:00
187,222,personal_loan,7426,24,submitted,2023-05-11 02:17:00
188,223,home_loan,165690,12,submitted,2023-02-12 22:54:00
189,224,personal_loan,29564,24,submitted,2023-03-31 17:31:00
190,225,personal_loan,25476,24,submitted,2023-12-24 05:30:00
191,226,auto_loan,22674,24,submitted,2023-04-18 19:09:00
192,227,auto_loan,8909,36,submitted,2023-10-04 15:24:00
193,229,home_loan,448636,36,submitted,2023-08-12 16:43:00
194,230,auto_loan,56743,60,submitted,2024-01-02 10:09:00
195,231,business_loan,32668,48,submitted,2023-02-25 03:05:00
196,232,business_loan,66739,60,submitted,2023-11-05 10:50:00
197,233,personal_loan,48842,48,submitted,2023-05-08 06:33:00
198,234,personal_loan,29458,60,submitted,2023-05-23 21:19:00
199,235,education_loan,3332,48,submitted,2023-03-12 05:00:00
200,236,education_loan,36044,12,submitted,2023-03-11 15:20:00
201,237,home_loan,468391,12,submitted,2023-12-24 23:31:00
202,238,personal_loan,1814,48,submitted,2023-10-17 13:37:00
203,239,home_loan,175337,12,submitted,2023-07-30 14:31:00
204,241,auto_loan,42380,60,submitted,2023-02-14 00:49:00
205,243,business_loan,116262,24,submitted,2023-04-25 08:23:00
206,244,auto_loan,51130,12,submitted,2023-08-03 02:07:00
207,245,home_loan,412152,36,submitted,2023-09-01 13:28:00
208,246,home_loan,191447,60,submitted,2023-11-29 17:43:00
209,247,business_loan,31222,60,submitted,2023-04-30 15:40:00
210,248,home_loan,403712,36,submitted,2023-01-04 06:13:00
211,249,home_loan,293978,60,submitted,2023-05-16 12:55:00
212,251,auto_loan,41749,24,submitted,2023-03-04 05:23:00
213,253,personal_loan,32358,60,submitted,2023-07-05 22:31:00
214,254,auto_loan,54865,24,submitted,2023-08-17 18:10:00
215,255,home_loan,271736,36,submitted,2023-10-19 10:49:00
216,257,home_loan,326133,12,submitted,2023-06-30 12:28:00
217,258,auto_loan,39921,36,submitted,2023-03-29 16:08:00
218,259,business_loan,191724,12,submitted,2023-12-29 09:18:00
219,260,personal_loan,26603,24,submitted,2023-03-11 18:09:00
